sex,edu,stff,vac,flu,will,frnd,dctr,ofcl,news,mdia,AZ,PZ,MD,LY,GT,GG,AdEv,HpSn,Epdm,Risk,Bnft,Wait,Need,NoNd,Blve,Rlgn,Cond
M,4,N,N,4,Y,1,1,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F,5,Y,N,4,N,2,2,2,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
M,6,N,N,2,Y,2,1,3,3,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
F,6,N,N,2,C,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M,6,N,N,1,Y,1,3,3,3,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
F,6,Y,N,3,C,2,3,3,1,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
M,6,N,N,4,Y,2,2,3,3,3,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0
F,6,N,N,1,N,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,5,N,N,1,C,1,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
M,6,N,N,4,C,2,2,2,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M,6,N,N,1,C,2,2,3,3,3,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
M,5,N,N,2,C,2,1,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
M,5,N,N,1,N,3,2,1,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M,6,N,N,1,C,1,2,3,3,3,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0
F,3,N,N,3,C,2,1,3,3,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
M,3,N,N,4,C,1,2,3,3,3,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
M,6,N,N,1,C,1,1,3,3,2,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
M,6,N,N,3,N,3,2,2,2,3,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
M,6,N,N,4,C,1,1,3,3,3,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0
M,6,N,N,3,N,2,2,3,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
F,7,N,N,1,N,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
M,7,N,N,3,Y,1,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M,4,N,N,4,C,2,1,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F,4,N,N,4,Y,3,2,3,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F,4,Y,N,4,N,2,3,3,3,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
M,4,N,N,1,Y,2,1,3,3,3,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
M,6,N,N,4,N,3,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M,5,N,N,4,Y,1,1,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F,6,N,N,1,N,3,2,3,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1
M,7,N,N,3,N,2,2,2,2,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1
M,6,N,N,3,C,2,3,3,3,3,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
M,5,N,N,1,C,2,1,3,3,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
M,5,N,N,1,C,2,1,3,3,3,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
M,6,N,N,4,Y,1,1,3,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
F,5,N,N,2,Y,2,1,3,3,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
M,4,N,N,1,C,1,1,3,2,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
M,4,N,N,4,C,1,1,3,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
F,4,N,N,1,C,2,2,3,3,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
F,6,N,N,2,N,3,2,3,3,3,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0
M,3,N,N,1,C,1,1,1,2,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
F,4,N,N,3,C,2,2,2,2,3,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
M,4,N,N,3,C,1,2,1,1,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
M,4,N,N,4,C,3,1,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M,3,N,N,3,C,1,2,3,3,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
M,2,N,N,1,Y,1,2,3,3,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
F,3,N,N,4,C,1,1,3,3,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
F,6,N,N,3,C,1,1,2,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
M,3,N,N,1,Y,1,1,1,1,3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
M,4,N,N,1,C,3,2,2,2,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
F,2,N,N,1,Y,1,1,3,1,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
M,4,N,N,1,C,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M,6,N,N,1,N,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
F,4,N,N,1,N,2,2,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
M,4,N,N,1,N,1,1,2,3,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
M,6,N,N,2,C,3,1,3,3,3,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0
F,5,N,N,3,Y,2,1,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,3,N,N,2,N,1,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
M,5,N,N,3,C,3,1,2,3,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
F,5,N,N,4,C,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F,3,N,N,1,N,2,1,3,3,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
M,3,N,N,2,N,1,1,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
M,5,N,N,4,Y,2,2,3,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,6,N,N,1,N,3,2,2,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M,6,N,N,2,Y,2,2,3,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
F,5,N,N,1,C,2,2,3,3,3,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
F,4,N,N,1,Y,1,2,3,3,3,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
M,4,N,N,1,N,2,3,2,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,6,N,N,1,C,1,2,3,3,3,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
F,4,N,N,2,C,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
M,4,N,N,1,C,2,2,3,3,3,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0
F,6,N,N,1,Y,3,1,3,3,3,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
M,5,N,N,4,Y,2,1,1,2,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
M,6,N,N,4,N,3,1,1,3,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
M,6,N,N,2,Y,3,1,3,3,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
M,6,N,N,1,C,1,1,2,3,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
F,6,N,N,3,Y,3,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
F,3,N,N,2,C,2,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
F,5,N,N,3,C,2,2,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
F,5,N,N,1,C,2,2,3,3,3,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
M,6,N,N,2,C,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
M,6,N,N,2,Y,1,2,2,2,2,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
M,6,N,N,2,C,2,1,3,3,3,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0
M,3,N,N,1,C,2,1,3,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
M,5,N,N,1,Y,3,2,3,3,3,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
F,4,N,N,2,C,2,1,1,3,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
F,3,N,N,1,Y,2,2,3,2,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
F,3,N,N,1,Y,2,3,3,2,3,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
M,5,N,N,3,N,2,2,2,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
M,5,N,N,1,C,1,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
M,5,N,N,2,Y,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
M,6,N,N,4,Y,2,1,3,3,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
